transaction_id,user_id,merchant_id,ts,amount,country,device_type,label
33554,895,628,2025-10-01 05:46:50.939139+00:00,166.2,US,android,0
9428,2,68,2025-09-07 08:22:58.939139+00:00,33.79,US,ios,0
200,1265,411,2025-10-16 01:39:06.939139+00:00,10.58,CA,ios,0
12448,1300,756,2025-09-17 16:02:45.939139+00:00,233.73,US,ios,0
39490,1652,145,2025-10-06 21:33:34.939139+00:00,94.71,CA,ios,0
42725,883,123,2025-09-19 20:35:31.939139+00:00,10.83,US,ios,0
10823,1634,661,2025-10-11 07:02:39.939139+00:00,44.47,GB,android,0
49499,675,243,2025-11-08 01:29:21.939139+00:00,41.12,AU,web,0
4145,1911,948,2025-09-13 18:22:35.939139+00:00,33.33,US,android,0
36959,1082,194,2025-10-23 03:32:05.939139+00:00,35.8,DE,android,0
43107,445,271,2025-10-12 20:55:13.939139+00:00,65.3,US,android,0
38696,793,570,2025-10-13 09:32:25.939139+00:00,14.41,IN,web,0
6189,1638,208,2025-10-08 05:23:49.939139+00:00,11.75,GB,ios,0
1415,1320,797,2025-11-15 09:32:43.939139+00:00,66.14,GB,web,0
18472,382,265,2025-10-19 00:12:48.939139+00:00,36.17,DE,ios,0
29283,1772,118,2025-09-12 07:59:51.939139+00:00,4.12,FR,ios,0
15178,1942,40,2025-11-19 17:27:55.939139+00:00,67.57,FR,ios,0
34305,1298,403,2025-10-07 18:24:09.939139+00:00,43.81,AU,android,0
12610,1014,206,2025-11-07 19:54:15.939139+00:00,70.28,DE,android,0
12145,1329,301,2025-10-22 11:46:26.939139+00:00,18.15,US,android,0
6114,504,538,2025-10-08 17:34:43.939139+00:00,10.65,IN,android,0
15909,138,739,2025-10-24 09:36:16.939139+00:00,54.81,DE,android,0
822,1168,184,2025-10-27 11:07:13.939139+00:00,11.77,CA,android,0
15119,1595,781,2025-11-03 14:01:49.939139+00:00,70.62,US,android,0
13467,1987,197,2025-11-19 05:01:09.939139+00:00,31.9,GB,ios,0
26498,1070,160,2025-09-15 11:16:45.939139+00:00,37.32,US,web,0
42112,1916,409,2025-10-30 04:31:03.939139+00:00,177.61,AU,ios,0
30189,1390,776,2025-10-22 17:02:44.939139+00:00,29.8,GB,android,0
37238,1795,224,2025-09-26 03:54:14.939139+00:00,28.29,IN,android,0
33110,1914,8,2025-10-14 03:14:12.939139+00:00,28.55,CA,android,0
36481,1312,433,2025-09-22 15:03:50.939139+00:00,60.44,US,web,0
24149,242,532,2025-10-15 11:14:30.939139+00:00,91.27,US,android,0
5504,1536,575,2025-08-28 11:30:56.939139+00:00,102.63,FR,web,0
3919,1837,924,2025-10-27 07:45:18.939139+00:00,7.17,GB,web,0
38479,1691,499,2025-08-25 15:19:12.939139+00:00,72.15,GB,ios,0
21124,1649,674,2025-11-02 11:27:57.939139+00:00,101.74,FR,android,0
49718,876,356,2025-10-03 14:10:50.939139+00:00,121.08,US,ios,0
42295,578,46,2025-09-21 05:18:36.939139+00:00,48.8,IN,android,0
47610,851,70,2025-10-08 11:33:07.939139+00:00,10.64,US,ios,0
11077,1602,61,2025-11-16 17:28:35.939139+00:00,20.22,US,android,0
41515,426,953,2025-10-26 05:52:11.939139+00:00,2.45,US,ios,0
22063,1384,731,2025-09-24 20:50:56.939139+00:00,25.72,DE,android,0
9414,693,891,2025-08-30 00:29:57.939139+00:00,73.88,US,android,0
38341,261,226,2025-08-24 15:36:45.939139+00:00,34.76,IN,android,0
30264,348,898,2025-09-06 13:02:39.939139+00:00,40.68,GB,ios,0
41253,1728,280,2025-09-06 08:06:39.939139+00:00,37.84,CA,android,0
14645,1632,254,2025-10-09 09:54:24.939139+00:00,40.01,IN,ios,0
26336,623,151,2025-11-10 21:38:10.939139+00:00,19.4,ZA,android,0
28103,1639,397,2025-10-18 08:56:24.939139+00:00,33.15,IN,android,0
17524,1403,167,2025-10-11 21:55:13.939139+00:00,63.64,ZA,android,0
24713,405,501,2025-08-24 21:15:08.939139+00:00,38.14,US,android,0
40486,896,99,2025-09-02 00:37:09.939139+00:00,10.62,CA,android,0
