user,mercheant,amount,country,device,label
10001,BookHive,370.61,UK,Desktop,1
10002,BookHive,320.23,Australia,Tablet,0
10003,BookHive,127.54,Canada,Desktop,1
10004,GourmetEats,57.1,Australia,Tablet,0
10005,TechWorld,35.17,Australia,Desktop,1
10006,BookHive,445.89,UK,Desktop,1
10007,TechWorld,270.16,UK,Desktop,1
10008,GourmetEats,161.02,USA,Tablet,1
10009,BookHive,477.63,USA,Tablet,1
10010,AutoParts,461.48,USA,Tablet,0
10011,FashionGo,472.42,Canada,Desktop,1
10012,GourmetEats,170.94,Canada,Tablet,0
10013,BookHive,299.6,Brazil,Desktop,0
10014,FashionGo,376.5,Australia,Desktop,0
10015,FashionGo,350.95,USA,Mobile,0
10016,FashionGo,15.63,Canada,Desktop,0
10017,FashionGo,25.03,Germany,Mobile,1
10018,GourmetEats,239.1,Germany,Tablet,1
10019,BookHive,328.8,Brazil,Tablet,0
10020,GourmetEats,169.9,Germany,Tablet,0
10021,FashionGo,121.3,Canada,Desktop,1
10022,AutoParts,425.04,UK,Tablet,0
10023,BookHive,261.45,Canada,Mobile,1
10024,TechWorld,87.44,Canada,Desktop,0
10025,FashionGo,72.83,UK,Desktop,1
10026,TechWorld,19.55,Germany,Tablet,1
10027,GourmetEats,75.51,Brazil,Mobile,0
10028,TechWorld,274.37,UK,Tablet,0
10029,AutoParts,173.56,UK,Tablet,1
10030,TechWorld,332.39,Canada,Desktop,1
10031,BookHive,320.2,Canada,Desktop,0
10032,FashionGo,379.17,Germany,Tablet,0
10033,GourmetEats,40.23,Brazil,Tablet,1
10034,FashionGo,59.91,Germany,Mobile,0
10035,BookHive,409.79,Brazil,Desktop,0
10036,GourmetEats,411.3,UK,Desktop,1
10037,GourmetEats,372.8,UK,Mobile,1
10038,TechWorld,228.32,UK,Tablet,1
10039,BookHive,261.17,Brazil,Mobile,1
10040,BookHive,165.59,Brazil,Desktop,1
10041,GourmetEats,445.08,UK,Desktop,1
10042,GourmetEats,486.72,USA,Mobile,0
10043,AutoParts,261.2,Australia,Mobile,0
10044,FashionGo,103.3,Australia,Tablet,1
10045,BookHive,103.71,Canada,Tablet,0
10046,TechWorld,11.14,USA,Mobile,0
10047,BookHive,380.77,USA,Tablet,1
10048,TechWorld,58.7,USA,Mobile,1
10049,GourmetEats,464.93,UK,Tablet,0
10050,AutoParts,398.49,Canada,Tablet,1
10051,BookHive,165.58,UK,Tablet,0
10052,GourmetEats,360.18,Canada,Mobile,0
10053,TechWorld,306.1,Germany,Tablet,1
10054,FashionGo,486.54,Australia,Tablet,1
10055,FashionGo,189.93,Germany,Tablet,1
10056,AutoParts,314.72,Australia,Desktop,0
10057,BookHive,393.51,Brazil,Desktop,0
10058,BookHive,162.71,Germany,Desktop,1
10059,TechWorld,445.41,USA,Mobile,1
10060,BookHive,12.18,Australia,Tablet,0
10061,BookHive,176.2,USA,Tablet,0
10062,BookHive,361.29,Brazil,Tablet,1
10063,BookHive,30.58,UK,Tablet,1
10064,BookHive,64.6,Canada,Desktop,0
10065,GourmetEats,69.25,UK,Tablet,0
10066,GourmetEats,186.32,Germany,Desktop,0
10067,BookHive,141.94,USA,Desktop,1
10068,FashionGo,240.25,Australia,Desktop,1
10069,BookHive,330.43,Germany,Mobile,1
10070,TechWorld,145.22,Australia,Tablet,1
10071,FashionGo,210.46,UK,Mobile,0
10072,TechWorld,115.34,Australia,Tablet,0
10073,TechWorld,215.69,UK,Mobile,1
10074,TechWorld,420.19,Brazil,Mobile,1
10075,GourmetEats,83.21,Brazil,Mobile,0
10076,TechWorld,192.27,Brazil,Tablet,0
10077,AutoParts,325.01,Brazil,Desktop,1
10078,BookHive,28.04,Brazil,Tablet,0
10079,BookHive,99.39,Australia,Desktop,0
10080,FashionGo,192.14,Canada,Mobile,0
10081,AutoParts,91.05,Canada,Tablet,1
10082,TechWorld,28.33,Australia,Mobile,1
10083,BookHive,300.87,UK,Mobile,1
10084,TechWorld,426.86,USA,Desktop,1
10085,BookHive,393.45,Brazil,Tablet,1
10086,BookHive,236.33,Canada,Tablet,1
10087,AutoParts,292.26,USA,Mobile,1
10088,GourmetEats,271.81,Canada,Desktop,1
10089,TechWorld,266.92,Germany,Desktop,0
10090,TechWorld,216.19,Brazil,Desktop,0
10091,GourmetEats,48.87,Australia,Desktop,0
10092,AutoParts,83.3,USA,Tablet,1
10093,GourmetEats,287.35,UK,Desktop,1
10094,GourmetEats,424.17,Brazil,Mobile,1
10095,BookHive,102.68,Brazil,Tablet,1
10096,FashionGo,444.63,Germany,Tablet,0
10097,BookHive,458.99,Australia,Tablet,0
10098,FashionGo,145.51,UK,Tablet,1
10099,BookHive,72.39,Brazil,Mobile,0
10100,BookHive,393.3,Germany,Mobile,1
10101,FashionGo,263.65,UK,Mobile,1
10102,BookHive,81.72,Brazil,Mobile,0
