date,company,profit,country,device,quarter
2025-09-09 06:01:37.896348,Alpha,888.61,USA,Mobile,0
2025-04-26 06:01:37.896348,Epsilon,555.33,Japan,Mobile,1
2025-09-02 06:01:37.896348,Epsilon,725.75,Japan,Mobile,0
2025-05-04 06:01:37.896348,Alpha,790.5,France,Tablet,1
2025-02-16 06:01:37.896348,Beta Solutions,971.87,UK,Tablet,0
2025-09-21 06:01:37.896348,Gamma LLC,100.17,Canada,Mobile,0
2024-11-21 06:01:37.896348,Beta Solutions,245.87,Japan,Tablet,1
2025-03-24 06:01:37.896348,Alpha,781.29,UK,Mobile,0
2024-12-16 06:01:37.896348,Alpha,526.46,USA,Mobile,0
2025-09-10 06:01:37.896348,Gamma LLC,611.23,Japan,Mobile,1
2024-12-10 06:01:37.896348,Epsilon,699.76,UK,Desktop,0
2025-01-06 06:01:37.896348,Delta Inc.,304.55,Germany,Mobile,0
2025-10-25 06:01:37.896348,Alpha,234.21,Germany,Tablet,0
2025-08-27 06:01:37.896348,Beta Solutions,825.12,Canada,Desktop,0
2025-10-01 06:01:37.896348,Epsilon,750.49,Japan,Desktop,0
2024-12-02 06:01:37.896348,Alpha,924.61,Germany,Mobile,0
2025-03-24 06:01:37.896348,Delta Inc.,945.96,Japan,Mobile,0
2025-06-21 06:01:37.896348,Epsilon,172.9,Canada,Mobile,1
2025-09-15 06:01:37.896348,Alpha,520.4,USA,Desktop,0
2025-03-23 06:01:37.896348,Gamma LLC,422.01,UK,Mobile,0
2025-10-21 06:01:37.896348,Beta Solutions,277.63,Canada,Tablet,0
2024-11-28 06:01:37.896348,Delta Inc.,937.6,UK,Desktop,0
2025-10-06 06:01:37.896348,Alpha,39.18,USA,Desktop,0
2024-12-22 06:01:37.896348,Alpha,28.53,France,Desktop,1
2025-03-03 06:01:37.896348,Epsilon,305.72,Japan,Desktop,0
2025-08-17 06:01:37.896348,Epsilon,500.61,Germany,Tablet,1
2025-10-20 06:01:37.896348,Epsilon,385.79,Germany,Desktop,1
2025-03-05 06:01:37.896348,Alpha,457.09,Japan,Mobile,0
2025-05-24 06:01:37.896348,Delta Inc.,506.38,Canada,Mobile,0
2024-12-16 06:01:37.896348,Alpha,531.42,Canada,Mobile,0
2025-03-23 06:01:37.896348,Alpha,722.44,France,Tablet,0
2025-03-27 06:01:37.896348,Gamma LLC,195.47,Germany,Mobile,0
2025-09-05 06:01:37.896348,Delta Inc.,698.73,UK,Desktop,1
2025-08-18 06:01:37.896348,Gamma LLC,285.58,Japan,Mobile,0
2025-06-16 06:01:37.896348,Delta Inc.,141.35,Japan,Desktop,0
2025-06-11 06:01:37.896348,Beta Solutions,677.49,France,Desktop,0
2025-09-22 06:01:37.896348,Epsilon,744.71,Japan,Tablet,1
2025-07-01 06:01:37.896348,Gamma LLC,324.58,Germany,Mobile,0
2025-01-03 06:01:37.896348,Epsilon,87.5,Canada,Desktop,0
2025-05-07 06:01:37.896348,Epsilon,538.4,USA,Tablet,0
2025-02-26 06:01:37.896348,Beta Solutions,288.66,Canada,Mobile,1
2025-01-12 06:01:37.896348,Beta Solutions,237.6,France,Desktop,0
